db1,db2,sim
npcare,npact,20.22
npcare,npass,75.47
npcare,npedia,17.66
npcare,nubbe,10.88
npcare,nubbedb,10.88
npcare,pubchem_np,10.80
npcare,supernatural2,81.75
npcare,tcmdb_taiwan,48.25
npcare,tcmid,29.42
npcare,tipdb,26.50
npcare,tppt,11.46
npcare,unpd,85.91
npcare,zinc_np,43.43
npedia,ibs_np,11.28
npedia,npass,12.08
npedia,npatlas,14.66
npedia,supernatural2,49.61
npedia,unpd,47.34
nubbe,analyticon_np,10.65
nubbe,chebi_np,21.67
nubbe,chemspider_np,22.26
nubbe,cmaup,27.67
nubbe,etm,10.43
nubbe,foodb,22.66
nubbe,gnps,10.16
nubbe,knapsack,10.29
nubbe,nanpdb,11.87
nubbe,npass,33.72
nubbe,nubbedb,91.29
nubbe,supernatural2,64.38
nubbe,tcmdb_taiwan,30.88
nubbe,tcmid,18.28
nubbe,tipdb,20.50
nubbe,unpd,67.95
nubbe,zinc_np,78.74
nubbedb,analyticon_np,10.65
nubbedb,chebi_np,21.67
nubbedb,chemspider_np,22.26
nubbedb,cmaup,27.67
nubbedb,etm,10.43
nubbedb,foodb,22.66
nubbedb,gnps,10.16
nubbedb,knapsack,10.29
nubbedb,nanpdb,11.87
nubbedb,npass,33.72
nubbedb,nubbe,91.29
nubbedb,supernatural2,64.38
nubbedb,tcmdb_taiwan,30.88
nubbedb,tcmid,18.28
nubbedb,tipdb,20.50
nubbedb,unpd,67.95
nubbedb,zinc_np,78.74
p-anapl,afrodb,10.78
p-anapl,analyticon_np,14.87
p-anapl,chebi_np,24.35
p-anapl,chemspider_np,12.64
p-anapl,cmaup,27.70
p-anapl,conmednp,21.19
p-anapl,etm,15.80
p-anapl,foodb,23.79
p-anapl,gnps,15.61
p-anapl,knapsack,12.45
p-anapl,nanpdb,13.94
p-anapl,npact,11.34
p-anapl,npass,34.39
p-anapl,npcare,11.71
p-anapl,npedia,15.80
p-anapl,nubbe,12.45
p-anapl,nubbedb,12.45
p-anapl,pubchem_np,11.52
p-anapl,supernatural2,49.63
p-anapl,tcmdb_taiwan,35.13
p-anapl,tcmid,19.33
p-anapl,tipdb,21.56
p-anapl,unpd,53.53
p-anapl,zinc_np,30.30
phenolexplorer,analyticon_np,18.68
phenolexplorer,chebi_np,33.53
phenolexplorer,chemspider_np,38.40
phenolexplorer,cmaup,37.59
phenolexplorer,etm,14.85
phenolexplorer,foodb,76.10
phenolexplorer,gnps,19.03
phenolexplorer,him,15.66
phenolexplorer,knapsack,16.13
phenolexplorer,nanpdb,17.87
phenolexplorer,npact,11.72
phenolexplorer,npass,36.43
phenolexplorer,npcare,12.18
phenolexplorer,npedia,10.56
phenolexplorer,pubchem_np,11.48
phenolexplorer,respect,11.25
phenolexplorer,supernatural2,50.00
phenolexplorer,tcmdb_taiwan,35.61
phenolexplorer,tcmid,22.51
